location,gage_id,gage_name,min_date,max_date,parameters,n_records,latitude,longitude
upper klamath lake,422432122005700,Ukl11,2002-06-14,2002-09-26,dissolved oxygen,213,42.4086127,-122.0169883
upper klamath lake,422502122011400,Ukl11-03,2003-06-13,2004-09-30,dissolved oxygen,717,42.4170819,-122.0217108
upper klamath lake,422515121594200,Ukl12-03,2003-06-13,2004-09-30,dissolved oxygen,729,42.4206099,-121.9961268
upper klamath lake,422610121580500,Ukl13-03,2003-06-19,2004-09-30,dissolved oxygen,678,42.4360543,-121.9690429
upper klamath lake,422549121562300,Ukl14-03,2003-06-14,2004-09-30,dissolved oxygen,729,42.43013805,-121.9408474
upper klamath lake,422733122042500,Ukl17-04,2004-07-10,2004-09-30,dissolved oxygen,228,42.4589414,-122.074852
upper klamath lake,422620122004300,Upper Klamath Lake - Mid-North Fish Cage - Mdnfc,2017-07-08,2017-09-20,dissolved oxygen,73,42.43891667,-122.01188889
upper klamath lake,422039121513700,Upper Klamath Lake - Rattlesnake Point Fish Cage,2017-06-29,2017-09-20,dissolved oxygen,78,42.34427778,-121.8601389
upper klamath lake,421935121551200,"Upper Klamath Lake at Howard Bay, or",2022-04-21,2026-07-01,"dissolved oxygen, pH, temperature",4757,42.32638889,-121.9199722
upper klamath lake,422719121571400,Williamson River Outlet - Wmr,2014-05-29,2026-07-01,temperature,5629,42.45524844,-121.9549039
