date,total_pixels,water_percent,class1_percent,class2_percent,class3_percent
2013-04-09,569858,0.12639259464604807,1.7554039421967178e-6,0.1232679756289379,0.003122863613167961
2013-04-23,674559,0.09993440749108116,0,0.09959911125027797,3.3529624080319727e-4
2013-05-25,674556,0.1102008624837505,0,0.10934481473139551,8.560477523549768e-4
2013-06-03,674541,0.1056608110479392,1.4836513058933487e-6,0.10464302625209637,0.0010163011445369439
2013-07-05,674495,0.11677148428189447,0,0.11450579410906288,0.0022656901728315922
2013-07-12,674554,0.11801379529395756,0,0.11484978663527944,0.003164008658678129
2013-07-21,674559,0.11843132744631583,0,0.11549971075681531,0.002931616689500521
2013-07-28,674556,0.12938151607334464,1.483618288310185e-6,0.12447519039390285,0.0049048420611534724
2013-08-06,659193,0.1222062093691636,0,0.11378821946614327,0.008417989903020326
2013-08-13,674559,0.11797564920796867,0,0.11053978744289954,0.007435861765069136
2013-08-29,632920,0.11758443244543872,0,0.1126214773184074,0.0049629551270313176
2013-09-07,674535,0.11318933591520053,1.780397416005726e-5,0.10884813354917322,0.0043233983918672374
2013-09-14,674552,0.1210168088898791,0,0.11502592268892926,0.005990886200949851
2013-10-25,674549,0.1066533762566247,0,0.10319799337786566,0.0034553828787590455
2013-11-01,674559,0.11081300471633555,1.4836116849698994e-6,0.1063695877198507,0.004441933384799879
2013-11-17,674554,0.11303456554617507,4.450868071709095e-6,0.10874613961376287,0.004283975064340501
2013-12-12,618223,0.8219965089783757,0.1680234315995432,0.011256257678014818,0.6427168197008148
2013-12-19,557533,0.15068052480914068,0.0809198271020877,0.0412795095318422,0.028481188175210743
2013-12-28,669905,0.12328554538661782,3.5256673533790657e-4,0.11631936451000485,0.006613614141275053
2014-01-04,652592,0.1103454231004561,3.0824954629943757e-4,0.10577535520009629,0.004261818354060383
2014-01-20,656926,0.11715387638787877,3.2602180203441074e-4,0.10871844312682956,0.008109411459014806
2014-02-05,395563,0.0632225289204145,0,0.06208109925974067,0.0011414296606738258
2014-02-21,617635,0.20805809015288035,8.102825375133579e-6,0.19343735204598936,0.014612635281515896
2014-03-18,674557,0.1231306808205468,0,0.11914272077817947,0.003987960042367325
2014-04-10,674559,0.11092964568519938,1.4836116849698994e-6,0.10826952993404836,0.00265863213946606
2014-04-19,674558,0.1126982256513226,0,0.10963307936268794,0.003065146288634662
2014-05-12,546665,0.13938100120856534,0,0.1362128322781417,0.003168168930423622
2014-05-21,674557,0.11736438871884565,0,0.11390459600351804,0.0034597927153276055
2014-06-06,674556,0.12361943936520556,0,0.11815082235449421,0.005468617010711343
2014-06-22,635656,0.11993393313648315,1.7321858074773676e-5,0.11197060256519857,0.007946008713209815
2014-06-29,674552,0.12628879340123134,8.901762557132022e-6,0.11939289467363974,0.0068869969650344745
2014-07-15,674559,0.12805018708081975,0,0.11566351312300606,0.01238667395781369
