area,year,month,mean_total_water,sd_total_water,mean_class1,mean_class2,mean_class3,n
Bear Valley,2019,Jun,14.525,NA,0,14.524,0.001,1
Bear Valley,2019,Jul,27.993,5.891,0,27.993,0,2
Bear Valley,2019,Aug,17.971,0.069,0,17.969,0.001,2
Bear Valley,2019,Sep,32.139,NA,0,32.139,0,1
Bear Valley,2019,Oct,69.777,NA,0,69.774,0.004,1
Bear Valley,2019,Nov,62.057,22.281,0,62.057,0,2
Bear Valley,2020,Feb,78.39,4.204,12.527,48.009,17.854,2
Bear Valley,2020,Apr,30.22,18.101,0.707,27.071,2.442,2
Bear Valley,2020,May,17.124,NA,0,17.122,0.001,1
Bear Valley,2020,Jun,22.398,NA,0,22.398,0,1
Bear Valley,2020,Jul,15.049,3.835,0,15.042,0.007,2
Lower Klamath Sheepy,2016,Oct,12.07,1.225,0,11.768,0.301,2
Lower Klamath Sheepy,2016,Nov,14.212,NA,0.001,13.518,0.692,1
Lower Klamath Sheepy,2017,Jan,99.907,NA,94.131,0.813,4.963,1
Lower Klamath Sheepy,2017,Mar,42.8,NA,0.013,36.092,6.695,1
Lower Klamath Sheepy,2017,Apr,29.725,NA,0.001,27.021,2.704,1
Lower Klamath Sheepy,2017,May,16.286,1.71,0.001,14.499,1.786,3
Lower Klamath Sheepy,2017,Jun,12.555,2.639,0.018,11.187,1.35,3
Lower Klamath Sheepy,2017,Jul,7.602,1.299,0.017,6.879,0.706,2
Lower Klamath Sheepy,2017,Aug,5.402,0.57,0.01,4.528,0.864,4
Lower Klamath Sheepy,2017,Sep,5.62,1.476,0.01,4.824,0.785,2
Lower Klamath Sheepy,2017,Oct,13.664,5.004,0.001,12.224,1.44,2
Lower Klamath Sheepy,2017,Dec,30.035,23.188,0.46,20.333,9.243,2
Lower Klamath Sheepy,2018,Apr,21.903,NA,0.001,19.633,2.27,1
Lower Klamath Sheepy,2018,May,16.478,NA,0,14.934,1.543,1
Lower Klamath Sheepy,2018,Jun,10.42,1.873,0.021,9.351,1.048,3
Lower Klamath Sheepy,2018,Jul,5.187,0.725,0.028,4.389,0.771,4
Lower Klamath Sheepy,2018,Aug,4.424,2.152,0.001,3.634,0.789,4
Lower Klamath Sheepy,2018,Sep,3.182,0.88,0,2.852,0.33,2
Lower Klamath Sheepy,2018,Oct,7.238,2.69,0.001,6.798,0.439,3
Lower Klamath Sheepy,2018,Nov,8.329,NA,0.001,7.219,1.109,1
Lower Klamath Sheepy,2019,Jan,17.56,6.846,0.019,16.501,1.04,2
Lower Klamath Sheepy,2019,Mar,23.101,NA,0.039,20.784,2.279,1
Lower Klamath Sheepy,2019,Apr,23.284,0.486,0.001,22.36,0.923,2
Lower Klamath Sheepy,2019,May,15.611,1.12,0,14.659,0.952,2
Lower Klamath Sheepy,2019,Jun,15.224,0.703,0.01,13.978,1.237,3
Lower Klamath Sheepy,2019,Jul,9.981,1.375,0.007,8.802,1.172,4
Lower Klamath Sheepy,2019,Aug,6.903,0.715,0.001,6.236,0.667,4
Lower Klamath Sheepy,2019,Sep,6.049,0.68,0,5.615,0.434,3
Lower Klamath Sheepy,2019,Oct,10.665,2.262,0,9.894,0.771,3
Lower Klamath Sheepy,2019,Nov,16.102,3.697,0.001,15.07,1.031,2
Lower Klamath Sheepy,2020,Feb,31.586,0.76,0.003,28.953,2.63,2
Lower Klamath Sheepy,2020,Apr,20.31,2.275,0,19.031,1.278,3
Lower Klamath Sheepy,2020,May,14.143,1.119,0.004,13.139,1,2
Lower Klamath Sheepy,2020,Jun,10.619,0.332,0.049,9.789,0.781,2
Lower Klamath Sheepy,2020,Jul,6.105,1.127,0.016,5.4,0.689,4
Lower Klamath Sheepy,2020,Aug,2.352,1.839,0,2.115,0.236,2
