year_month,mean_water,mean_class1,mean_class2,mean_class3,sd_water,n_obs
2016-10-01,0.1262371250195065,8.784872144247479e-7,0.11670143658831694,0.009534809943975184,0.009835913698043307,2
2016-11-01,0.12512271550496268,3.0782048915827397e-6,0.11667304307756805,0.008446594222503037,NA,1
2017-01-01,0.9998835936628425,0.9697351557710668,0.0023474517167665176,0.02780098617501212,NA,1
2017-03-01,0.1895746354818616,3.4125954645216816e-5,0.17762557647262212,0.011914933054594429,NA,1
2017-04-01,0.11305439671402348,1.4836160871902253e-6,0.10985676768845586,0.003196145409480448,NA,1
2017-05-01,0.12444963952322598,1.8106192512880765e-5,0.11913093031504764,0.005300603015665453,0.006994952153899877,3
2017-06-01,0.1325540098340436,1.4737226132446754e-4,0.12083099500062676,0.011575642572092376,0.0036561295658066153,3
2017-07-01,0.1301936900307216,4.525019381039919e-5,0.11176202526745732,0.018386414569453884,0.00445789152052952,2
2017-08-01,0.13543094313234322,1.086747980466333e-4,0.11639616836531655,0.018926099968980023,0.005291335797623464,4
2017-09-01,0.13450006891895228,2.373789261296296e-5,0.12016607219608116,0.014310258830258151,0.0038326344720989503,2
2017-10-01,0.12011765091441462,0,0.11160378986768801,0.0085138610467266,6.291618931402181e-4,2
2017-12-01,0.23023025223997085,2.0068386532154003e-5,0.22074782257026931,0.009462361283169449,0.04406029290286027,2
2018-04-01,0.12065416756209836,1.4836116849698994e-6,0.11639471841454978,0.004257965535863611,NA,1
2018-05-01,0.11908022428881143,2.967223369939799e-6,0.11260277567223285,0.006474481393208641,NA,1
2018-06-01,0.13057830835696588,0.0016532912765110741,0.10653974821225375,0.022385268868201063,0.0018223025920920662,3
2018-07-01,0.12537980131802798,1.7618383761352962e-4,0.10490007002617159,0.02030354745424285,0.0022347625668048448,4
2018-08-01,0.11786568321546573,3.0002193356780887e-4,0.10757691925556126,0.00998874202633666,0.011248162811588868,4
2018-09-01,0.09089340346399455,1.4836579095863338e-6,0.08510420666559876,0.005787713140486196,0.0402511073045765,2
2018-10-01,0.10824944435778987,3.1197629463252876e-6,0.10283726982565403,0.005409054769189511,0.02638095855405943,3
2018-11-01,0.1208739722922415,2.967756132658662e-6,0.11336406539854876,0.007506939137560085,NA,1
2019-01-01,0.17176878827201916,7.210214192574234e-6,0.16634291764158626,0.0054186604162403396,0.018908097808857893,2
2019-03-01,0.12485309791948641,9.646850089735139e-5,0.1239529243538375,8.037050647516177e-4,NA,1
2019-04-01,0.11656286350230866,0,0.1159916042315686,5.712592707400545e-4,0.002288481971829254,2
2019-05-01,0.11602046921770838,0,0.11565126233398679,3.692068837215871e-4,0.00368662085334563,2
2019-06-01,0.12707838966980156,0.0014693607570570313,0.11038764677905705,0.015221382133687487,0.00947612913566402,3
2019-07-01,0.1318799548321644,1.5462295705092057e-4,0.11427296987003177,0.017452362005081698,0.003295117749337943,4
2019-08-01,0.13415502307671107,8.36939558978623e-5,0.12339498338616274,0.010676345734650471,0.005119421117636443,4
2019-09-01,0.10994725204027796,2.967301885232872e-6,0.08775679278024445,0.022187491958148266,0.028720446133579897,3
2019-10-01,0.1337187913993632,0,0.11378213066240203,0.019936660736961178,0.021174782980542622,3
2019-11-01,0.13214040306136488,7.418256529466743e-7,0.12363525911838108,0.00850440211733083,0.012921274218347828,2
2020-02-01,0.14702146323837895,2.9808415527068976e-6,0.13985247172136173,0.007166010675464483,0.01695665757185374,2
2020-04-01,0.11407032267019923,9.9382769280876e-7,0.10781749713022243,0.006251831712283996,0.00447163473238389,3
2020-05-01,0.10784125695592231,1.1127104145575976e-5,0.10112482700587108,0.006705302845905639,0.013423163238316759,2
2020-06-01,0.12965585838738816,1.3621200343143675e-4,0.10909839092048723,0.020421255463469692,0.021237323543544687,2
2020-07-01,0.09908172565081111,1.0037772913506849e-4,0.08368173927374314,0.015299608647932878,0.006933196613053583,4
2020-08-01,0.0696630571717941,0.0011807356069310601,0.060657763691211786,0.007824557873651243,0.028581422638056037,2
