date,total_pixels,water_percent,class1_percent,class2_percent,class3_percent
2016-10-08,76944,0.21904620964027188,0,0.21904620964027188,0
2016-11-09,76944,0.5668191542040204,0,0.5668191542040204,0
2017-03-01,76929,0.9691975367163213,0.22032407817999988,0.10630291334978635,0.6425705451865342
2017-04-02,74465,0.3272749062244192,0.014229172048426815,0.24741072614244838,0.06563500803354402
2017-05-04,74558,0.09394138392032839,7.643984184446838e-4,0.09229189259631618,8.850929055675286e-4
2017-05-20,76937,0.07225681190459952,2.5991952279998748e-5,0.07213984811933953,9.097183297999562e-5
2017-06-05,76944,0.10818216948136447,0,0.10813921022126666,4.295926009783395e-5
2017-06-21,76944,0.08117506367321649,0,0.08112812953496014,4.69341382563524e-5
2017-07-07,76944,0.09136960695028847,0,0.09134361736232892,2.5989587959543673e-5
2017-08-08,76944,0.21678261844894847,0,0.21678261844894847,0
2017-08-24,55728,0.4734736121289217,0,0.4734736121289217,0
2017-09-09,58617,0.34623278696025134,0,0.34623278696025134,0
2017-10-27,76944,0.393998637228311,0,0.393998637228311,0
2017-12-14,32963,0.7428193016086817,0.03530500367755494,0.6934062279455357,0.01410806998559103
2018-04-21,75830,0.18260672263493377,3.955701725197864e-5,0.18202655304857143,5.406125691103748e-4
2018-05-07,76889,0.2005294496149323,0,0.2005294496149323,0
2018-06-08,76069,0.2526849408581605,0,0.2526849408581605,0
2018-06-24,76944,0.09437074187992268,0,0.09437074187992268,0
2018-07-10,76944,0.08662441778863972,0,0.08662441778863972,0
2018-07-26,76944,0.524554223784517,0,0.524554223784517,0
2018-08-11,76944,0.23215877212548397,0,0.23215877212548397,0
2018-08-27,44270,0.21367347808094153,0,0.21367347808094153,0
2018-10-14,76942,0.2510500958250819,0,0.2510500958250819,0
2018-10-30,76944,0.5314874814524775,0,0.5314874814524775,0
2019-01-02,73689,0.7969445412581626,0.22879336995995908,0.3958068455429486,0.1723443257552578
2019-04-24,47031,0.2189007601791097,2.1243361449546918e-5,0.21753468707695411,0.001344829740706023
2019-05-10,76938,0.19506125688414655,0,0.19494031943082638,1.2093745332020696e-4
2019-06-11,76944,0.14524851982926568,0,0.1452355250352859,1.2994793979771837e-5
2019-07-13,21571,0.2382758051642077,0,0.2382758051642077,0
2019-07-29,76944,0.3215811474178859,0,0.3215811474178859,0
2019-08-14,76944,0.17922119193040617,0,0.17919520234244662,2.5989587959543673e-5
2019-08-30,59030,0.18019297273914214,0,0.18019297273914214,0
2019-09-15,73933,0.3213884503770211,0,0.3213884503770211,0
2019-10-01,55756,0.6977744084925112,0,0.6977385500725217,3.58584199894239e-5
2019-11-02,76944,0.46301699469348573,0,0.46301699469348573,0
2019-11-18,72191,0.778120215283126,0,0.778120215283126,0
2020-02-06,76903,0.8136248655723974,0.14527429756544552,0.4728854969522946,0.19546507105466074
2020-02-22,74272,0.7541652225398312,0.10526160187079654,0.48729723601383546,0.16160638465520336
2020-04-10,75265,0.43019462167639483,0.014059546670787064,0.3675241976009163,0.04861087740469144
2020-04-26,71894,0.1742110584105642,8.344389649619088e-5,0.17390509745674482,2.2251705732317568e-4
2020-05-28,76944,0.17123759818904546,0,0.17122460339506568,1.2994793979771837e-5
2020-06-29,71800,0.22397892128578042,0,0.22397892128578042,0
2020-07-15,76944,0.12337598836237208,0,0.12337598836237208,0
2020-07-31,76944,0.17760820675766992,0,0.17746526402389243,1.429427337774902e-4
