year_month,mean_water,mean_class1,mean_class2,mean_class3,sd_water,n_obs
2013-04-01,0.1575136433187028,1.865574668670029e-6,0.15497500452418622,0.002536773219847907,0.014553356447308314,2
2013-05-01,0.10699619016412744,0,0.10662250897847529,3.7368118565215104e-4,NA,1
2013-06-01,0.1344052623329248,3.7116330312980068e-6,0.12814882695559543,0.006252723744298071,NA,1
2013-07-01,0.10064443912235876,0,0.09822375394047377,0.0024206851818850007,0.05046483395753892,4
2013-08-01,0.11369653155766163,1.9431737136148313e-6,0.1126796032799363,0.0010149851040117165,0.019308510224189286,3
2013-09-01,0.11357116690973582,0,0.1116867494005749,0.0018844175091609133,0.0044104453598906475,2
2013-10-01,0.11340443270668325,0,0.11045613698283861,0.0029482957238446393,NA,1
2013-11-01,0.13497924517304244,0,0.13366297732521715,0.0013162678478253293,0.011676972293968059,2
2013-12-01,0.4630864472195507,0.11145255923236698,0.10580940508904402,0.2458244828981296,0.41722782670025277,3
2014-01-01,0.15644281724471237,0.005472395624786854,0.15061549078940414,3.5493083052137795e-4,0.023342691454126374,2
2014-02-01,0.2069510664766826,2.6405724537409015e-6,0.2022285905059545,0.004719835398274356,0.12654594199371763,2
2014-03-01,0.11900014959559903,0,0.09476816472534326,0.02423198487025577,NA,1
2014-04-01,0.10185498434860785,0,0.08542868486660714,0.016426299482000705,0.015368914394483825,2
2014-05-01,0.09853890206488658,0,0.08408111591683182,0.014457786148054772,0.013486814176712473,2
2014-06-01,0.0759582807004528,0,0.07092486279386406,0.005033417906588741,0.030963730691265866,3
2014-07-01,0.09508427817682177,0,0.09458184414790347,5.024340289182993e-4,0.021257702273739645,3
2014-08-01,0.07526935234900603,0,0.07490306127449778,3.6629107450825214e-4,0.049881592777863436,3
2014-09-01,0.08578448392314207,0,0.08525874150304312,5.257424200989517e-4,0.02434939049935675,2
2014-10-01,0.09191511094579101,0,0.09127834331751415,6.367676282768465e-4,0.015593648824760995,4
2014-12-01,0.7834902743348748,0.05374077884061403,0.22107164184496123,0.5086778536492299,NA,1
2015-01-01,0.22385367484346452,0,0.22246214101855882,0.0013915338249057122,0.09168088077566224,2
2015-02-01,0.14665159993350133,2.3899282274449844e-4,0.14070384447003303,0.005708762640723786,0.031637418725688836,2
2015-03-01,0.14489236131946545,2.573395717866435e-4,0.13291289184996058,0.011722129897718226,0.03482694207527658,2
2015-04-01,0.08899031297684773,0,0.08118535766115659,0.007804955315691145,0.022209777074095098,2
2015-05-01,0.12587836959555312,0,0.11974467099331988,0.0061336986022332675,0.02939405046436714,2
2015-06-01,0.10496321229609862,0,0.09861809228134122,0.006345120014757406,0.019652976563137615,2
2015-07-01,0.06275346810036611,0,0.061930216356911164,8.232517434549516e-4,0.05018437462242884,3
2015-08-01,0.0868612271900961,0,0.08571062375152438,0.0011506034385717213,0.025423118249656564,2
2015-09-01,0.08592178365128748,0,0.08389505432581176,0.00202672932547573,0.023954598353767006,2
2015-10-01,0.10730555456259383,0,0.10642495301514641,8.80601547447418e-4,0.02459844404804644,4
2015-11-01,0.12608934346977468,0,0.12535173743338665,7.376060363880043e-4,0.011614677004763976,2
2016-02-01,0.7116631383937866,0.03483336794766767,0.4444555867152364,0.23237418373089327,NA,1
2016-03-01,0.23132131924067373,2.1264508679732524e-5,0.22449467552017327,0.006805379211820757,0.034774411801800374,2
2016-04-01,0.18014208653387592,0,0.1766623643125927,0.0034797222212832424,0.036196219125675694,2
