date,total_pixels,water_percent,class1_percent,class2_percent,class3_percent
2016-10-01,269553,0.11203665513770725,7.415312011539636e-6,0.10943620699405261,0.0025930328316430954
2016-10-08,376542,0.1293627815421933,0,0.12592964851954846,0.0034331330226448175
2016-11-09,536357,0.1421163532842946,7.455689412468767e-6,0.1351844406720506,0.006924456922831523
2017-01-05,536374,0.9990726297544845,0.9413139172144593,0.008125133680825602,0.04963357885909193
2017-03-01,535834,0.4279981320490509,1.2500368755389947e-4,0.36092140207118584,0.06695172629031126
2017-04-02,536389,0.29725193782486625,9.318978276868933e-6,0.2702068156828836,0.027035803163705654
2017-05-04,536391,0.18162063283972144,3.727577415862387e-6,0.16370151039389177,0.01791539486841391
2017-05-20,536391,0.15883346239520785,3.727577415862387e-6,0.14112119126005726,0.017708543557734845
2017-05-29,528735,0.1481367473734566,1.7016307042154185e-5,0.1301550336827518,0.017964697383662666
2017-06-05,536391,0.1509904787147763,1.0996353376794043e-4,0.1323419132225142,0.01853860195849415
2017-06-21,536391,0.12735631497367503,1.9756160304070652e-4,0.11474032920968881,0.012418424160945544
2017-06-30,526130,0.0982966322698947,2.3180575896408e-4,0.08853608977974323,0.009528736731187388
2017-07-07,536391,0.08520552736288246,1.770599272534634e-4,0.07708313617371833,0.007945331261910679
2017-07-16,511046,0.0668374101653634,1.5648495756128504e-4,0.06050026031733156,0.006180664890470568
2017-08-01,526619,0.055749669964392554,1.8413372645070082e-4,0.04472446302871784,0.010841073209224008
2017-08-08,536388,0.0575012802289996,8.946235819749627e-5,0.048899649904698944,0.008512167966103157
2017-08-17,529575,0.04555302822469924,7.173285547554737e-5,0.03924788789491373,0.006233407474309965
2017-08-24,532721,0.05726297472728128,6.756176486608013e-5,0.04823013603708199,0.008965276925333204
2017-09-02,524939,0.045759606738551444,1.9995699151019802e-4,0.037068142840908175,0.008491506906133076
2017-09-09,536391,0.06663727289149383,5.591366123793581e-6,0.05941881922567643,0.007212862299693719
2017-10-04,536189,0.10126340307942792,1.8644799869897452e-6,0.08915596723857971,0.012105571360861227
2017-10-27,536120,0.1720261838298499,1.6782575027487655e-5,0.1553156605286132,0.016693740726209265
2017-12-07,532955,0.4643189655256429,0.009201464477617941,0.2830309942707496,0.1720865067772744
2017-12-14,11588,0.13638720443858332,0,0.12362262435572517,0.012764580082858154
2018-04-21,536387,0.21903424999675342,5.591407808604521e-6,0.19633127049121618,0.02269738809772862
2018-05-07,534003,0.16478086374981105,3.7444572946221383e-6,0.1493443385527313,0.015432780739785143
2018-06-01,519536,0.11670079977056884,2.501372208274402e-5,0.10617579517113732,0.010499990877348778
2018-06-08,512387,0.11322896602949842,2.0876837584447858e-4,0.10085309866518509,0.012167098988468864
2018-06-24,536384,0.08266300201556524,3.8208166996240857e-4,0.07349676956251586,0.008784150783086983
2018-07-03,514553,0.05802527961790393,4.7014420140135087e-4,0.05005031289578597,0.007504822520716605
2018-07-10,536388,0.057839899640186834,5.815053282837258e-4,0.05228391443629649,0.004974479875606616
2018-07-19,508188,0.043481970262165985,1.1802307917400494e-5,0.036650401029310664,0.006819766924937919
2018-07-26,536391,0.048139908171784686,4.100335157448626e-5,0.03656391650682404,0.011534988313386157
2018-08-04,500909,0.029596307070266146,5.986874751442196e-6,0.019085350631650795,0.010504969563863906
2018-08-11,532100,0.042353961899361726,9.394072799819604e-6,0.030803098399506366,0.011541469427055544
2018-08-20,515227,0.02975760066370094,0,0.023597443610720165,0.0061601570529807755
2018-08-27,336492,0.07525091934991122,5.940401350987287e-6,0.07188271178390143,0.0033622671646588043
2018-09-05,513847,0.025600985772659523,3.890822394508822e-6,0.022054501160064733,0.0035425937902002825
2018-09-21,393520,0.03804661116548478,0,0.03498604890590909,0.0030605622595756897
2018-10-07,529006,0.06442695797480338,1.1338403531439155e-5,0.059080900709729815,0.005334718861542123
2018-10-14,536389,0.050358501459757656,7.4551826214951456e-6,0.04552567932537343,0.004825366951762733
2018-10-30,433348,0.10235919245740234,2.0762673334510495e-5,0.09932987770677312,0.003008552077294752
2018-11-08,535938,0.08328767009051397,5.596045402727608e-6,0.0721883858576397,0.011093688187471567
2019-01-02,525880,0.12719717567023123,2.908617413705493e-4,0.11240122563761822,0.014505088291242703
2019-01-27,437237,0.2240072059673296,8.461813436843559e-5,0.21762594034873647,0.006296647484224697
2019-03-16,518608,0.23101115267170091,3.882623471769456e-4,0.20783513129343598,0.022787759031087994
2019-04-17,488845,0.23628250069317258,1.2269424533917783e-5,0.22916803077140588,0.007102200497232779
2019-04-24,518785,0.2294056244433404,5.781000380276664e-6,0.2180337845894137,0.011366058853546544
2019-05-03,519716,0.1640280145565897,1.9234467296450496e-6,0.1534745450984418,0.010551546011418245
2019-05-10,536352,0.14818268962783357,0,0.13969857451243156,0.008484115115401985
2019-06-04,535119,0.15706368070075716,2.2418290769874566e-5,0.14612542299595585,0.010915839414031426
2019-06-11,536391,0.15549685668744226,1.435117305107019e-4,0.1427075385736184,0.01264580638331315
2019-06-20,534358,0.1441724957013787,1.272173567085675e-4,0.13050411322913172,0.013541165115538404
2019-07-06,460933,0.09462438034270851,1.799956653063812e-4,0.08493497513079393,0.009509409546608212
2019-07-13,512273,0.12023994460447941,3.3181652485791505e-5,0.1072307849681382,0.012975977983855408
2019-07-22,507562,0.09396168562253472,3.54505306766816e-5,0.08361603908672313,0.0103101960051349
2019-07-29,536389,0.0904077717384398,4.10035044182233e-5,0.07628392826201724,0.014082839972004331
2019-08-07,514989,0.07090401997657207,7.764406530898372e-6,0.06353171597548408,0.0073645395945571065
2019-08-14,536391,0.07819342068844659,5.591366123793581e-6,0.0718956786443471,0.00629215067797571
2019-08-23,519341,0.061949698388328034,3.849711345246662e-6,0.05520500411145588,0.006740844565526904
2019-08-30,526973,0.0650836799460103,3.794418410517852e-6,0.05879822584898755,0.006281659678612305
2019-09-08,267705,0.05906662210026299,0,0.05244101921614473,0.0066256028841182564
2019-09-15,533012,0.05450709565319322,0,0.051116061362800815,0.003391034290392411
2019-09-24,529385,0.06788278130482414,1.8883829001876652e-6,0.06488144476665099,0.0029994481552729807
