year_month,mean_water,mean_class1,mean_class2,mean_class3,sd_water,n_obs
2013-03-01,0.1678751832775859,0,0.16700461071718273,8.705725604031764e-4,NA,1
2013-04-01,0.07575984590833462,0,0.07568182289584566,7.802301248896392e-5,NA,1
2013-05-01,0.13817307224776484,0,0.13817307224776484,0,NA,1
2013-06-01,0.030973307899434595,0,0.030954314378128706,1.8993521305890443e-5,0.007792059253050457,2
2013-07-01,0.014256928353909272,0,0.014217518726488515,3.940962742075687e-5,0.004566724652233705,4
2013-08-01,0.034409903906072584,0,0.03426585966110337,1.4404424496921214e-4,0.008700752450884934,2
2013-09-01,0.041000082756337486,0,0.04099597628199596,4.106474341524417e-6,0.010456810584528136,2
2013-10-01,0.23673310310521617,0,0.2366838254131179,4.9277692098293006e-5,0.18931766539198777,2
2013-11-01,0.18587049767573569,0,0.18508707978838118,7.834178873545046e-4,NA,1
2013-12-01,0.8715230822559314,0.34002501392896556,0.37768863944177616,0.15380942888519,0.0500890947742805,3
2014-01-01,0.7677967615288399,0.17207258490266794,0.48383911248680167,0.11188506413936983,0.24386597507725707,2
2014-03-01,0.2683608370043534,0,0.2683608370043534,0,NA,1
2014-04-01,0.1219979618209536,0,0.12199385534661207,4.106474341524417e-6,0.030028048566954166,2
2014-05-01,0.09418673296708421,0,0.09418673296708421,0,0.07800222636735363,2
2014-06-01,0.028059528379240792,0,0.028022570110167073,3.6958269073719754e-5,0.01173122452279922,2
2014-07-01,0.027507335679791904,0,0.02741698471070028,9.03509690916279e-5,0.00877977101366844,3
2014-08-01,0.14148780390323143,0,0.14148780390323143,0,0.04511562735150682,3
2014-09-01,0.05328026684957106,0,0.05328026684957106,0,0.04816743391047653,2
2014-10-01,0.15728144943768252,0,0.15728144943768252,0,0.154996670961284,3
2014-12-01,0.8768333625822542,0.2732411361428355,0.5473826802794581,0.05620954615996059,NA,1
2015-01-01,0.36675147608531394,4.142644944282799e-6,0.36424931853896714,0.0024980149014025284,NA,1
2015-02-01,0.34283827993371296,0,0.34272807508775804,1.1020484595493253e-4,0.004706051594525584,2
2015-03-01,0.6259934089551547,0,0.6259934089551547,0,0.325347218010884,2
2015-04-01,0.09005752636185539,0,0.08996986365055593,8.76627112994576e-5,NA,1
2015-05-01,0.05651244942351029,0,0.05651244942351029,0,0.013573613616508353,2
2015-06-01,0.06256139952656571,0,0.06256139952656571,0,0.06739589333766953,2
2015-07-01,0.03867867856418597,0,0.037899479083836944,7.791994803490214e-4,0.010616973058662216,3
2015-08-01,0.07853160432004638,0,0.07768978513194436,8.418191881020319e-4,0.04583871756418521,2
2015-09-01,0.07046986038823098,0,0.07044522154218184,2.4638846049146503e-5,0.04805862500659379,3
2015-10-01,0.3253730352565239,0,0.3253714669889026,1.5682676212902319e-6,0.16632644496621193,3
2015-11-01,0.6441214516803366,0.14603699487025845,0.40846347884153666,0.08962097796854142,0.48050784229997445,2
2016-03-01,0.6623163829703197,0.001307320464386687,0.6330641051070678,0.027944957398865204,0.37053713900965946,2
2016-04-01,0.405148395252381,0.007881308321755078,0.36107454292729557,0.03619254400333034,0.049458222636915745,2
2016-05-01,0.07964162691739302,0,0.07945801178605737,1.8361513133565436e-4,0.029667878327678792,3
2016-06-01,0.010694693043180084,0,0.010694693043180084,0,0.00411342707655543,2
2016-07-01,0.039053675450808074,0,0.03899914484122001,5.453060958806151e-5,0.020699692684862974,4
2016-08-01,0.025954138607114107,0,0.025781656929101768,1.7248167801233735e-4,0.007222482044328454,2
2016-09-01,0.10982093216334696,0,0.10982093216334696,0,NA,1
2016-10-01,0.07876867855019319,0,0.07876449847340306,4.1800767901416475e-6,NA,1
2016-11-01,0.32612674582996554,0,0.3258454523375711,2.8129349239442255e-4,0.18715438007939927,2
