year_month,mean_water,mean_class1,mean_class2,mean_class3,sd_water,n_obs
2013-03-01,0.642178157405977,0.009905559142913758,0.6137119656127354,0.01856063265032758,NA,1
2013-04-01,0.5563494009809642,0.0027815018979985536,0.5394356650937552,0.014132233989210458,0.042832230247889326,2
2013-05-01,0.5634937346475484,2.2651517868441117e-5,0.5584034262665811,0.005067656863098919,0.08091994958562412,2
2013-06-01,0.250597874593048,0,0.24800612617929788,0.0025917484137501405,0.2919521742007645,2
2013-07-01,0.424950817999078,1.0660230414378873e-6,0.41814611011559816,0.0068036418604384185,0.07923606942990895,5
2013-08-01,0.3567228402826832,8.689792281311822e-5,0.34960231916161416,0.007033623198255916,0.1571390228957879,4
2013-09-01,0.34338167534207936,1.597833522494173e-5,0.33984730161785803,0.003518395388996438,0.24753337419610213,3
2013-10-01,0.5094590681237184,5.143999300900236e-6,0.50732773102253,0.0021261931018875233,0.09861586537962864,2
2013-11-01,0.5053815445530365,4.024812698765297e-4,0.5020977838197768,0.0028812794633831964,0.05262484846326759,3
2013-12-01,0.7924457666853868,0.35171897668210966,0.21883183184512245,0.22189495815815455,0.22959407180779445,4
2014-01-01,0.7289779200313214,0.14580859049810646,0.5448191375448477,0.03835019198836736,0.026117149034237036,4
2014-02-01,0.7297028752386197,0.008872640307242958,0.6981499603545684,0.022680274576808115,0.00439788066132143,2
2014-03-01,0.15463797502740756,3.043959135758149e-4,0.15392124998787246,4.1232912595927113e-4,NA,1
2014-04-01,0.3891058492362926,0.002037469860008785,0.37223719060650895,0.0148311887697748,0.23242869603356073,3
2014-05-01,0.5954918189969061,0.0013148143687765508,0.5808662936624918,0.013310710965637684,0.04543875467640437,2
2014-06-01,0.5696554652601156,5.923788459884369e-4,0.5575728391792236,0.011490247234903554,0.2771507088849164,3
2014-07-01,0.4627446753333953,1.760427907850681e-4,0.45036679604364355,0.012201836498966659,0.028854682382112005,4
2014-08-01,0.6769947292971239,4.434651134634442e-4,0.669327180220224,0.00722408396343649,0.28125429494737114,3
2014-09-01,0.39366145961982035,2.9307582517071665e-4,0.38750315602972796,0.005865227764921612,0.05225909629609892,2
2014-10-01,0.4277529439392576,1.66300349220096e-4,0.4230633568532874,0.004523286736750155,0.08319356892192824,5
2015-01-01,0.6693967848778929,0.0051623195855626,0.6480478585889239,0.016186606703406242,0.02351955921094075,3
2015-02-01,0.5443964288357558,0.001783522397147795,0.5307510051966828,0.011861901241925212,0.09305057115233448,3
2015-03-01,0.5226351534135668,0.003625526391900804,0.5010089810547754,0.01800064596689055,0.3708203481895788,3
2015-04-01,0.36444525033900477,1.3046532283905065e-6,0.36164051814356835,0.0028034275422080404,0.2029411017356295,2
2015-05-01,0.17113403734223662,1.8802737531112065e-4,0.16963424251328438,0.0013117674536411124,NA,1
2015-06-01,0.524260616912436,9.164729550072373e-4,0.5061892736061878,0.017154870351241004,0.04817980666365524,2
2015-07-01,0.4464889681398572,5.147482262736057e-4,0.43742422944505294,0.008549990468530767,0.04465483395134736,4
2015-08-01,0.5370205693127912,0.003987222847486255,0.5078527923417558,0.02518055412354918,0.015304908664036757,2
2015-09-01,0.6027963498925496,0.00212705873508064,0.5912387636253792,0.009430527532089769,0.34602914425989584,3
2015-10-01,0.5662234534419096,0.001248208130033686,0.5555435605647597,0.009431684747116259,0.05252805415984574,4
2015-11-01,0.5538612223679443,3.9033484987153653e-4,0.5500885673834647,0.003382320134608126,0.036393304754192606,3
2016-03-01,0.43293078196415735,0.010226811125666169,0.3861467309249667,0.03655723991352445,0.31451565998919734,3
2016-04-01,0.5304191135075825,0.0343417903213089,0.400434289067395,0.09564303411887864,0.404224736769379,3
2016-05-01,0.5094627441755596,0.0019331514477003747,0.4899376428076341,0.017591949920225097,0.03798706483227006,4
2016-06-01,0.5868055261107621,0,0.5580709825321435,0.028734543578618602,NA,1
2016-07-01,0.491732514908468,0.0013066684765855802,0.4697083359530238,0.020717510478858604,0.04912693630876367,4
2016-08-01,0.49913381091966524,7.57745106330621e-4,0.4870003587176393,0.011375707095695346,0.03351475836468557,4
2016-09-01,0.469380978112788,3.5535893537918987e-6,0.46540823244298296,0.003969192080451255,NA,1
2016-10-01,0.4944144726226559,2.6691581654967086e-6,0.49228296246574654,0.002128840998743848,0.06117385891142755,2
2016-11-01,0.6563038763089053,1.9737038868737313e-4,0.6519131653389232,0.004193340581294604,0.03518474291130493,2
2017-01-01,0.9870516474239759,0.6408292023433964,0.03846422382877704,0.30775822125180047,NA,1
2017-03-01,0.9130800978530775,0.22672145763503992,0.3944594421573182,0.2918991980607194,0.00786040896505663,2
2017-04-01,0.6517858538500179,0.016090538595390086,0.5743000050856638,0.061395310168963844,0.03137510371310885,2
2017-05-01,0.5087795883094625,0.005330382234493019,0.4777573111014005,0.02569189497356878,0.03069766646170836,4
2017-06-01,0.47405150783006333,5.134684708006901e-4,0.46711197995537024,0.006426059403892314,0.047409038574998896,4
2017-07-01,0.44035043453052813,4.166140428479105e-4,0.41797426988293096,0.021959550604749266,0.0347367035886118,2
2017-08-01,0.6190731923127876,6.875811418367328e-4,0.5781837291171178,0.04020188205383302,0.06613877519619046,4
2017-09-01,0.5910386527357876,0.002193315375248142,0.56480997718437,0.024035360176169446,0.035027494755298476,2
2017-10-01,0.5407748037236418,4.056832029039714e-5,0.5238538289112744,0.01688040649207702,0.07658388380279206,3
2017-12-01,0.8088645156246729,0.002909069707014541,0.787569579218784,0.018385866698874306,0.005238580966486261,2
2018-04-01,0.5325225829625322,0.0059655262028909545,0.4962354637548459,0.0303215930047953,0.049019004627600414,2
2018-05-01,0.5377725069053914,0.0014504463085749117,0.5236549561737693,0.012667104423047151,0.04901533798744168,2
2018-06-01,0.49242483783039825,0.0022331950087315943,0.4759019813593875,0.014289661462279212,0.030079654806738288,3
2018-07-01,0.5038299588190266,4.229625251529859e-4,0.48448491210192235,0.018922084191951242,0.08475472800760603,4
2018-08-01,0.517313502326866,3.5997976725837635e-6,0.5089328909538949,0.008377011575298448,0.03228337260087503,3
2018-09-01,0.7077142116313088,0.001303885800612768,0.6789755764987812,0.027434749331914844,NA,1
2018-10-01,0.5371889171719527,3.725135030139421e-4,0.5303574904009533,0.0064589132679854265,0.07140989835511277,4
2018-11-01,0.7158205026684048,0,0.7151894483782808,6.310542901240785e-4,0.025590966162325,2
2019-01-01,0.858595378519055,0.1791775364903307,0.5189076608149397,0.1605101812137848,0.020351288322095255,2
2019-04-01,0.4376272882747147,0.0018698429106738625,0.4233785137522977,0.012378931611743143,0.3246418386983161,3
2019-05-01,0.5586803733004159,0.0018635770915092198,0.538972641556065,0.017844154652841684,0.038450115063272325,2
2019-06-01,0.5308676313365588,8.615794714695959e-5,0.5251882795593561,0.005593193830055725,0.04605246729152881,2
2019-07-01,0.5213560991032612,9.214829484282299e-4,0.501934409086736,0.018500207068096908,0.04499547721328683,4
